State,State1,Average New SAT Score,Participation Rate
AL,Alabama,998,7%
AK,Alaska,1037,54%
AZ,Arizona,1045,36%
AR,Arkansas,1034,4%
CA,California,1053,60%
CO,Colorado,1090,14%
CT,Connecticut,1126,88%
DE,Delaware,1015,100%
FL,District of Columbia,1012,100%
GA,Florida,1073,72%
HI,Georgia,1080,77%
ID,Hawaii,1056,63%
IL,Idaho,1056,100%
IN,Illinois,1101,5%
IA,Indiana,1075,71%
KS,Iowa,1098,3%
KY,Kansas,1081,5%
LA,Kentucky,1064,5%
ME,Louisiana,1011,5%
MD,Maine,1008,96%
MA,Maryland,1057,78%
MI,Massachusetts,1130,84%
MN,Michigan,1086,4%
MS,Minnesota,1107,6%
MO,Mississippi,1035,3%
MT,Missouri,1089,4%
NE,Montana,1039,18%
NV,Nebraska,1070,4%
NH,Nevada,1017,54%
NJ,New Hampshire,1101,70%
NM,New Jersey,1104,79%
NY,New Mexico,1016,12%
NC,New York,1062,76%
ND,North Carolina,1062,64%
OH,North Dakota,1099,2%
OK,Ohio,1051,15%
OR,Oklahoma,1043,5%
PA,Oregon,1058,48%
RI,Pennsylvania,1044,71%
SC,Rhode Island,1042,73%
SD,South Carolina,1056,65%
TN,South Dakota,1099,3%
TX,Tennessee,1054,8%
UT,Texas,1026,62%
VT,Utah,1027,5%
VA,Vermont,1093,63%
WA,Virginia,1099,73%
WV,Washington,1057,63%
WI,West Virginia,963,15%
WY,Wisconsin,1096,4%
,Wyoming,1067,3%
