State,Average Rate,American Indian/Alaska Native,Asian/Pacific Islander,Hispanic,Black,White
Alabama,87.10%,90%,91%,87%,84.50%,88.60%
Alaska,76.10%,64%,81%,76%,74%,80.80%
Arizona,79.50%,67.70%,89%,76.40%,75.50%,84.00%
Arkansas,87.00%,87%,87%,85.70%,81.50%,89.20%
California,83.00%,74%,92.90%,80.00%,73.00%,88.00%
Colorado,78.90%,62%,85%,69.90%,71.80%,84.40%
Connecticut,87.40%,89%,94%,76.40%,78.80%,92.50%
Delaware,85.50%,0%,91%,81%,82.10%,88.40%
District of Columbia,69.20%,0%,77%,69%,67.70%,91%
Florida,80.70%,77%,91.60%,79.50%,72.30%,85.10%
Georgia,79.40%,69%,87.80%,73.40%,76.20%,83.10%
Hawaii,82.70%,72%,83.60%,75%,78%,82%
Idaho,79.70%,58%,80%,73.70%,78%,81.40%
Illinois,85.50%,79%,93.50%,81.30%,74.50%,90.40%
Indiana,86.80%,83%,89%,82.70%,73.80%,89.50%
Iowa,91.30%,81%,91%,85%,80%,92.90%
Kansas,85.70%,73%,92%,79.20%,77%,88.40%
Kentucky,88.60%,83%,93%,82%,80.90%,90.00%
Louisiana,78.60%,83%,89%,73%,73.40%,83.20%
Maine,87.00%,85%,94%,85%,77%,87.50%
Maryland,87.60%,82%,95.10%,76.50%,84.10%,92.40%
Massachusetts,87.50%,85%,92.70%,72.70%,78.90%,91.90%
Michigan,79.70%,67%,89.80%,72.60%,67.40%,83.40%
Minnesota,82.20%,53%,83.60%,65.30%,65.10%,87.00%
Mississippi,82.30%,88%,92%,82%,78.90%,85.90%
Missouri,89.00%,86%,92%,83.10%,79.00%,91.60%
Montana,85.60%,66%,93%,80%,81%,88.70%
Nebraska,89.30%,74%,81%,81.80%,79%,92.60%
Nevada,73.60%,65%,86%,69.70%,56.50%,79.90%
New Hampshire,88.20%,74%,92%,76%,78%,89.20%
New Jersey,90.10%,83%,96.70%,83.30%,82.10%,94.20%
New Mexico,71.00%,63%,81%,70.70%,61%,75.70%
New York,80.40%,68%,86.70%,68.10%,68.50%,89.30%
North Carolina,85.90%,82%,93.40%,80.10%,82.90%,88.60%
North Dakota,87.50%,66%,88%,77%,77%,90.80%
Ohio,83.50%,70%,87%,72.80%,67.30%,87.70%
Oklahoma,81.60%,81.40%,86%,77.80%,77.10%,83.20%
Oregon,74.80%,56%,86%,69.40%,66%,76.60%
Pennsylvania,86.10%,77%,91.20%,72.80%,73.20%,90.50%
Rhode Island,82.80%,78%,91%,79%,81%,88.40%
South Carolina,82.60%,74%,94%,79.90%,80.30%,84.10%
South Dakota,83.90%,51%,79%,73%,77%,89.30%
Tennessee,88.50%,86%,93%,83.70%,82.30%,91.30%
Texas,89.10%,87%,95.40%,86.90%,85.40%,93.40%
Utah,85.20%,71%,87%,75.10%,74%,87.90%
Vermont,87.70%,0%,83%,89%,71%,88.40%
Virginia,86.70%,0%,93.10%,74.80%,81.30%,90.70%
Washington,79.70%,63%,0%,72.80%,71.30%,82.20%
West Virginia,89.80%,0%,,89%,88%,89.90%
Wisconsin,88.20%,78%,89%,79.90%,64.20%,92.70%
Wyoming,80.00%,53%,84%,74%,81%,82.00%
