State,Starting Salary,Average Salary
Alabama,36198,47949
Alaska,44166,65468
Arizona,31874,49885
Arkansas,32691,46631
California,41259,69324
Colorado,32126,49844
Connecticut,42924,69397
Delaware,39338,59679
Florida,35166,46598
Georgia,33664,52880
Hawaii,41027,54300
Idaho,31159,49734
Illinois,37166,59113
Indiana,34696,50065
Iowa,33226,50946
Kansas,33386,47464
Kentucky,35166,50203
Louisiana,38655,51381
Maine,31835,48430
Maryland,43235,64248
Massachusetts,40600,72334
Michigan,35901,61560
Minnesota,34505,56268
Mississippi,31184,41814
Missouri,30064,47517
Montana,27274,48855
Nebraska,30844,48997
Nevada,35358,55957
New Hampshire,34280,55599
New Jersey,48631,68797
New Mexico,31960,45453
New York,43839,75279
North Carolina,30778,45737
North Dakota,32019,47344
Ohio,33096,56307
Oklahoma,31606,44373
Oregon,33549,57612
Pennsylvania,41901,62994
Rhode Island,39196,63474
South Carolina,32306,48375
South Dakota,29851,39018
Tennessee,34098,47563
Texas,38091,48819
Utah,33081,49393
Vermont,35541,52526
Virginia,37848,48670
Washington,36335,52234
West Virginia,32533,45453
Wisconsin,33546,53797
Wyoming,43269,56775
,,
